"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US02071","ZCTA5 02071","1837","563",
"8600000US02072","ZCTA5 02072","28110","44",
"8600000US02081","ZCTA5 02081","19270","665",
"8600000US02090","ZCTA5 02090","15094","24",
"8600000US02093","ZCTA5 02093","11287","26",
"8600000US02108","ZCTA5 02108","4183","530",
"8600000US02109","ZCTA5 02109","3947","519",
"8600000US02110","ZCTA5 02110","2048","307",
"8600000US02111","ZCTA5 02111","7537","708",
"8600000US02113","ZCTA5 02113","7221","371",
"8600000US02114","ZCTA5 02114","12882","627",
"8600000US02115","ZCTA5 02115","28536","1100",
"8600000US02116","ZCTA5 02116","22433","902",
"8600000US02118","ZCTA5 02118","27526","791",
"8600000US02119","ZCTA5 02119","26259","1274",
"8600000US02120","ZCTA5 02120","15500","1001",
"8600000US02121","ZCTA5 02121","28051","1302",
"8600000US02122","ZCTA5 02122","24880","1096",
"8600000US02124","ZCTA5 02124","53227","1723",
"8600000US02125","ZCTA5 02125","35379","1264",
"8600000US02126","ZCTA5 02126","27835","1432",
"8600000US02127","ZCTA5 02127","36494","1232",
"8600000US02128","ZCTA5 02128","44989","1328",
"8600000US02129","ZCTA5 02129","18058","828",
"8600000US02130","ZCTA5 02130","39257","1332",
"8600000US02131","ZCTA5 02131","31890","1240",
"8600000US02132","ZCTA5 02132","28506","1041",
"8600000US02134","ZCTA5 02134","18238","1157",
"8600000US02135","ZCTA5 02135","38682","1287",
"8600000US02136","ZCTA5 02136","31052","1416",
"8600000US02138","ZCTA5 02138","37252","973",
"8600000US02139","ZCTA5 02139","36422","958",
"8600000US02140","ZCTA5 02140","18384","665",
"8600000US02141","ZCTA5 02141","13055","555",
"8600000US02142","ZCTA5 02142","2935","395",
"8600000US02143","ZCTA5 02143","26267","1049",
"8600000US02144","ZCTA5 02144","24930","864",
"8600000US02145","ZCTA5 02145","25291","844",
"8600000US02148","ZCTA5 02148","60725","201",
"8600000US02149","ZCTA5 02149","43717","186",
"8600000US02150","ZCTA5 02150","37567","57",
"8600000US02151","ZCTA5 02151","53109","50",
"8600000US02152","ZCTA5 02152","17962","25",
"8600000US02155","ZCTA5 02155","59166","308",
"8600000US02163","ZCTA5 02163","2361","447",
"8600000US02169","ZCTA5 02169","55706","896",
"8600000US02170","ZCTA5 02170","19860","900",
"8600000US02171","ZCTA5 02171","17611","820",
"8600000US02176","ZCTA5 02176","27681","30",
"8600000US02180","ZCTA5 02180","21752","33",
"8600000US02184","ZCTA5 02184","36905","31",
"8600000US02186","ZCTA5 02186","27303","28",
"8600000US02188","ZCTA5 02188","14911","825",
"8600000US02189","ZCTA5 02189","15161","700",
"8600000US02190","ZCTA5 02190","16880","587",
"8600000US02191","ZCTA5 02191","8352","412",
"8600000US02199","ZCTA5 02199","1173","192",
"8600000US02203","ZCTA5 02203","0","12",
"8600000US02210","ZCTA5 02210","2179","271",
"8600000US02215","ZCTA5 02215","24521","862",
"8600000US02301","ZCTA5 02301","59775","990",
"8600000US02302","ZCTA5 02302","34757","995",
"8600000US02322","ZCTA5 02322","4453","18",
"8600000US02324","ZCTA5 02324","27243","28",
"8600000US02330","ZCTA5 02330","11562","35",
"8600000US02332","ZCTA5 02332","15297","56",
"8600000US02333","ZCTA5 02333","14113","35",
"8600000US02338","ZCTA5 02338","7684","17",
"8600000US02339","ZCTA5 02339","14226","19",
"8600000US02341","ZCTA5 02341","10372","57",
"8600000US02343","ZCTA5 02343","10975","24",
"8600000US02346","ZCTA5 02346","23708","26",
"8600000US02347","ZCTA5 02347","11098","35",
"8600000US02351","ZCTA5 02351","16112","37",
"8600000US02356","ZCTA5 02356","12690","489",
"8600000US02357","ZCTA5 02357","1282","287",
"8600000US02359","ZCTA5 02359","18081","27",
"8600000US02360","ZCTA5 02360","57658","76",
"8600000US02364","ZCTA5 02364","12958","28",
"8600000US02366","ZCTA5 02366","190","73",
"8600000US02367","ZCTA5 02367","2868","26",
"8600000US02368","ZCTA5 02368","33409","49",
"8600000US02370","ZCTA5 02370","17663","31",
"8600000US02375","ZCTA5 02375","9611","491",
"8600000US02379","ZCTA5 02379","7008","28",
"8600000US02382","ZCTA5 02382","14715","52",
"8600000US02420","ZCTA5 02420","14414","555",
"8600000US02421","ZCTA5 02421","18286","558",
"8600000US02445","ZCTA5 02445","20785","709",
"8600000US02446","ZCTA5 02446","29099","747",
"8600000US02451","ZCTA5 02451","18140","807",
"8600000US02452","ZCTA5 02452","15232","700",
"8600000US02453","ZCTA5 02453","29066","862",
"8600000US02457","ZCTA5 02457","1642","226",
"8600000US02458","ZCTA5 02458","12781","679",
"8600000US02459","ZCTA5 02459","19104","834",
"8600000US02460","ZCTA5 02460","9477","567",
"8600000US02461","ZCTA5 02461","7278","549",
"8600000US02462","ZCTA5 02462","1389","226",
"8600000US02464","ZCTA5 02464","2901","345",
"8600000US02465","ZCTA5 02465","11618","690",
"8600000US02466","ZCTA5 02466","8572","503",
"8600000US02467","ZCTA5 02467","23520","1407",
"8600000US02468","ZCTA5 02468","5713","470",
"8600000US02472","ZCTA5 02472","33350","36",
"8600000US02474","ZCTA5 02474","27346","724",
"8600000US02476","ZCTA5 02476","16782","725",
"8600000US02478","ZCTA5 02478","25337","27",
"8600000US02481","ZCTA5 02481","16342","476",
"8600000US02482","ZCTA5 02482","10848","457",
"8600000US02492","ZCTA5 02492","20067","479",
"8600000US02493","ZCTA5 02493","11850","57",
"8600000US02494","ZCTA5 02494","9786","484",
"8600000US02532","ZCTA5 02532","11972","730",
"8600000US02534","ZCTA5 02534","913","362",
